Regulating Agency	Water System Number	Water System Name	System Status	Federal Water System Classification	State Water System Classification	Principal County Served	Population Served	Service Connections	PS Code	Sampling Point Name	Facility Type	Facility Status	Sample Type	Sample Date	Sample Time	Analysis Date	ELAP Cert#	Lab Name	Analyte Code	Analyte Name	Result	Counting Error	Units of Measure	Less Than Reporting Level	Reporting Level	DLR	MCL	Method
DISTRICT 02 - LASSEN	CA3200102	WHITEHAWK RANCH MWC	A	C	C	PLUMAS	765	201	CA3200102_001_001	MCKENZIE CREEK / WEST STREAM - RAW	IN	A	RT	05-05-2020	10:10:00	05-06-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_003_003	WILLOW CREEK SPRINGS	SP	A	RT	08-11-2020	09:28:00	09-01-2020	1186	PACE ANALYTICAL SERVICES, LLC DBA BC LAB	2976	VINYL CHLORIDE			UG/L	Y	0.500000000	.5	.5	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_014_014	WELL 01	WL	A	RT	11-19-2019	08:54:00	11-19-2019	2718	BASIC LABORATORY, INC (CHICO)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	07-01-2020	08:00:00	07-06-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1002	ALUMINUM			UG/L	Y	50.000000000	50	1000	
LPA62 - PLUMAS COUNTY	CA3200071	BUCKS LAKE LODGE & TIMBERLINE LODGE	A	NC	NC	PLUMAS	40	3	CA3200071_002_002	WELL 02 (TIMBERLINE LODGE)	WL	A	RT	06-27-2022	12:37:00	07-12-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE	0.6		MG/L	N	0.400000000	.4	10	SM 4500-NO3-F-00
DISTRICT 02 - LASSEN	CA3210006	LAKE ALMANOR COUNTRY CLUB MWC	A	C	C	PLUMAS	6000	1721	CA3210006_001_001	WELL 01	WL	A	RT	06-10-2020	12:23:00	06-15-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1015	CADMIUM			UG/L	Y	1.000000000	1	5	
LPA62 - PLUMAS COUNTY	CA3200097	CAMP TIMBERWOLF	A	NC	NC	PLUMAS	90	1	CA3200097_001_001	SPRING 01	SP	A	RT	08-24-2020	10:15:00	08-25-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1038	NITRATE-NITRITE			MG/L	Y	0.200000000	.4	10	
LPA62 - PLUMAS COUNTY	CA3200126	PLUMAS PINES RESORT	A	NC	NC	PLUMAS	100	10	CA3200126_001_001	WELL 01 (LAKE SIDE OF ROAD)	WL	A	RT	08-22-2019	10:44:00	08-23-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1038	NITRATE-NITRITE	3.0000000		MG/L	N	0.400000000	.4	10	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_007_007	WELL 02 - BELLAMY	WL	A	RT	10-06-2020	09:00:00	10-13-2020	1677	BASIC LABORATORY (REDDING)	1052	SODIUM	9.7000000		MG/L	N	0.000000000			
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_006_006	WELL 33 (INSTALLED 2014)	WL	A	RT	07-27-2020	11:45:00	08-14-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	4006	COMBINED URANIUM	11.3000000	0.000	PCI/L	N	1.000000000	1	20	
