Regulating Agency	Water System Number	Water System Name	System Status	Federal Water System Classification	State Water System Classification	Principal County Served	Population Served	Service Connections	PS Code	Sampling Point Name	Facility Type	Facility Status	Sample Type	Sample Date	Sample Time	Analysis Date	ELAP Cert#	Lab Name	Analyte Code	Analyte Name	Result	Counting Error	Units of Measure	Less Than Reporting Level	Reporting Level	DLR	MCL	Method
DISTRICT 02 - LASSEN	CA3210010	HAMILTON BRANCH CSD	A	C	C	PLUMAS	1874	645	CA3210010_004_004	WELL 02	WL	A	RT	06-13-2024	11:30:00	06-19-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2408	DIBROMOMETHANE			UG/L	Y	0.500000000			EPA 524.2
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_001_001	WELL 01B TREATMENT PLANT - TREATED	TP	A	RT	11-25-2024	10:30:00	12-03-2024	2813	EUROFINS EATON ANALYTICAL POMONA	2037	SIMAZINE			UG/L	Y	1.000000000	1	4	EPA 525.2
LPA62 - PLUMAS COUNTY	CA3200148	FEATHER RIVER RV & MHP	A	C	C	PLUMAS	741	18	CA3200148_001_001	WELL 01 (STAND-BY)	WL	A	RT	07-11-2023	11:09:00	08-02-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1088	VANADIUM, TOTAL			UG/L	Y	3.000000000			EPA 200.8
DISTRICT 02 - LASSEN	CA3210005	GRAEAGLE WATER COMPANY	A	C	C	PLUMAS	737	944	CA3210005_DST_801	DBPR Sample	DS	A	RT	10-15-2024	08:30:00	10-30-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2454	DIBROMOACETIC ACID			UG/L	Y	1.000000000	1		EPA 552.2
LPA62 - PLUMAS COUNTY	CA3205005	GRIZZLY CREEK RANCH SNJ	A	NTNC	NTNC	PLUMAS	300	1	CA3205005_DST_900	DBPR Sample	DS	A	RT	06-26-2025	09:35:00	07-07-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2451	DICHLOROACETIC ACID			UG/L	Y	1.000000000	1		EPA 552.2
DISTRICT 02 - LASSEN	CA3200107	GRIZZLY LAKE CSD-CROCKER/WELCH	A	C	C	PLUMAS	215	73	CA3200107_002_002	CROCKER MOUNTAIN WELL	WL	A	RT	06-25-2024	12:30:00	06-25-2024	2670	FGL ENVIRONMENTAL (CHICO)	C253	PH, FIELD	8.5		PH	N	0.000000000			SM 4500-H+B
LPA62 - PLUMAS COUNTY	CA3200167	ALMANOR LAKE ESTATES MWC	A	NP	SSWS	PLUMAS	18	9	CA3200167_001_001	WELL 01	WL	A	RT	04-15-2025	11:55:00	04-23-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1075	BERYLLIUM, TOTAL			UG/L	Y	1.000000000	1	4	EPA 200.8
DISTRICT 02 - LASSEN	CA3210005	GRAEAGLE WATER COMPANY	A	C	C	PLUMAS	737	944	CA3210005_DST_801	DBPR Sample	DS	A	RT	09-10-2024	09:00:00	09-19-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2454	DIBROMOACETIC ACID			UG/L	Y	1.000000000	1		EPA 552.2
LPA62 - PLUMAS COUNTY	CA3205005	GRIZZLY CREEK RANCH SNJ	A	NTNC	NTNC	PLUMAS	300	1	CA3205005_001_001	WELL 01	WL	A	RT	03-21-2023	11:25:00	03-27-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2944	DIBROMOCHLOROMETHANE			UG/L	Y	1.000000000	1		EPA 524.2
LPA62 - PLUMAS COUNTY	CA3205001	WALKER RANCH CSD	A	C	C	PLUMAS	150	171	CA3205001_001_001	WELL 01 (INSTALLED 1994)	WL	A	RT	10-08-2024	11:15:00	11-04-2024	2698	E.S. BABCOCK & SONS	2813	11CL-PF3OUDS			NG/L	Y	1.700000000			EPA 533
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_009_009	WELL 08 (INSTALLED 1995)	WL	A	RT	06-12-2025	11:28:00	06-24-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2426	TERT-BUTYLBENZENE			UG/L	Y	0.500000000			EPA 524.2
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_014_014	WELL 01	WL	A	RT	04-08-2024	13:40:00	05-06-2024	2698	E.S. BABCOCK & SONS	2802	PERFLUOROHEPTANOIC ACID (PFHPA)			NG/L	Y	1.800000000			EPA 533
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_001_001	WELL 01B TREATMENT PLANT - TREATED	TP	A	RT	10-24-2023	10:40:00	11-03-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1005	ARSENIC	5		UG/L	N	2.000000000	2	10	EPA 200.8
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_001_001	WELL 03	WL	A	RT	09-20-2023	09:52:00	10-05-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1002	ALUMINUM			UG/L	Y	50.000000000	50	1000	EPA 200.8
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_003_003	WELL 9M	WL	A	RT	04-08-2025	11:25:00	05-05-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	SM 4500-NO3-F-00
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_002_002	WELL 3P2	WL	A	RT	05-13-2025	11:10:00	05-28-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1032	MANGANESE	310		UG/L	N	10.000000000		50	EPA 200.7
LPA62 - PLUMAS COUNTY	CA3200301	PSEA CAMP ALMANOR	A	NC	NC	PLUMAS	60	1	CA3200301_001_001	WELL 01	WL	A	RT	06-13-2024	13:00:00	06-21-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1041	NITRITE			MG/L	Y	0.400000000	.4	1	SM 4500-NO3-F-00
LPA62 - PLUMAS COUNTY	CA3200148	FEATHER RIVER RV & MHP	A	C	C	PLUMAS	741	18	CA3200148_001_001	WELL 01 (STAND-BY)	WL	A	RT	07-11-2023	11:09:00	07-25-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2413	1,3-DICHLOROPROPENE			UG/L	Y	0.500000000	.5	.5	EPA 524.2
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_002_002	WELL 02 TREATMENT PLANT - TREATED	TP	A	RT	04-13-2023	10:10:00	04-24-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2985	1,1,2-TRICHLOROETHANE			UG/L	Y	0.500000000	.5	5	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200111	FEATHER RIVER COMMUNITY COLLEGE	A	NTNC	NTNC	PLUMAS	600	300	CA3200111_003_003	WELL 02 (SOCCER FIELD - INSTALLED 1998)	WL	A	RT	07-25-2023	09:13:00	08-01-2023	1186	PACE ANALYTICAL SERVICES, LLC DBA BC LAB	2976	VINYL CHLORIDE			UG/L	Y	0.500000000	.5	.5	EPA 524.2
DISTRICT 02 - LASSEN	CA3210001	IVCSD-GREENVILLE	A	C	C	PLUMAS	630	220	CA3210001_006_006	WELL 2 - RAW	WL	A	RT	04-17-2024	12:15:00	05-16-2024	2698	E.S. BABCOCK & SONS	2822	PERFLUORODECANE SULFONIC ACID 8:2 FTS			NG/L	Y	4.500000000			EPA 533
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_015_015	WELL 02	WL	A	RT	07-06-2023	09:16:00	07-06-2023	1677	BASIC LABORATORY (REDDING)	1925	PH	7.35		PH	N	0.000000000			SM 4500-H+B
LPA62 - PLUMAS COUNTY	CA3200153	CARIBOU CROSSROADS	A	NC	NC	PLUMAS	30	1	CA3200153_003_003	WELL 01	WL	A	RT	06-06-2023	08:45:00	06-09-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	SM 4500-NO3-F-00
LPA62 - PLUMAS COUNTY	CA3200111	FEATHER RIVER COMMUNITY COLLEGE	A	NTNC	NTNC	PLUMAS	600	300	CA3200111_001_001	WELL 01 (FOOTBALL FIELD)	WL	A	RT	06-13-2023	09:00:00	06-14-2023	1677	BASIC LABORATORY (REDDING)	1041	NITRITE			MG/L	Y	0.100000000	.4	1	EPA 300.0
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_014_014	WELL 01	WL	A	RT	04-08-2024	13:40:00	05-06-2024	2698	E.S. BABCOCK & SONS	2812	PERFLUOROUNDECANOIC ACID (PFUNA)			NG/L	Y	1.800000000			EPA 533
LPA62 - PLUMAS COUNTY	CA3200024	LITTLE BEAR RV PARK	A	NC	NC	PLUMAS	100	3	CA3200024_002_002	WELL 02 (INSTALLED 1985)	WL	A	RT	04-28-2023	09:47:00	04-28-2023	1677	BASIC LABORATORY (REDDING)	1041	NITRITE			MG/L	Y	0.100000000	.4	1	EPA 300.0
DISTRICT 02 - LASSEN	CA3200107	GRIZZLY LAKE CSD-CROCKER/WELCH	A	C	C	PLUMAS	215	73	CA3200107_002_002	CROCKER MOUNTAIN WELL	WL	A	RT	06-25-2024	12:30:00	07-19-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1085	THALLIUM, TOTAL			UG/L	Y	1.000000000	1	2	EPA 200.8
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_006_006	WELL 33 (INSTALLED 2014)	WL	A	RT	08-20-2024	11:28:00	08-23-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2380	CIS-1,2-DICHLOROETHYLENE			UG/L	Y	0.500000000	.5	6	EPA 524.2
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_002_002	WELL 01B	WL	A	RT	04-15-2024	09:55:00	05-07-2024	2698	E.S. BABCOCK & SONS	2809	PERFLUOROHEXANOIC ACID (PFHXA)			NG/L	Y	1.700000000			EPA 533
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_006_006	WELL 33 (INSTALLED 2014)	WL	A	RT	08-20-2024	11:28:00	08-23-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2430	BROMOCHLOROMETHANE			UG/L	Y	0.500000000			EPA 524.2
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_002_002	WELL 3P2	WL	A	RT	07-11-2023	12:07:00	07-18-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1032	MANGANESE	410		UG/L	N	20.000000000		50	EPA 200.7
LPA62 - PLUMAS COUNTY	CA3200141	SIERRA PACIFIC INDUSTRIES QUINCY	A	NTNC	NTNC	PLUMAS	300	1	CA3200141_DST_LCR	LCR Tap Sample	DS	A	RT	09-25-2023	19:52:00	10-11-2023	1677	BASIC LABORATORY (REDDING)	1030	LEAD			UG/L	Y	0.500000000			EPA 200.8
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_013_013	BOYLE WELL #7	WL	A	RT	04-08-2024	09:20:00	05-01-2024	2698	E.S. BABCOCK & SONS	2826	PERFLUORO PFEESA			NG/L	Y	1.800000000			EPA 533
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_001_001	WELL 01B TREATMENT PLANT - TREATED	TP	A	RT	04-13-2023	10:25:00	04-24-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2980	1,2-DICHLOROETHANE			UG/L	Y	0.500000000	.5	.5	EPA 524.2
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_DST_LCR	LCR Tap Sample	DS	A	RT	07-16-2024	13:30:00	08-02-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1022	COPPER, FREE			UG/L	Y	50.000000000	50		EPA 200.7
LPA62 - PLUMAS COUNTY	CA3200138	MEADOW EDGE MHP	A	C	C	PLUMAS	53	31	CA3200138_002_002	WELL 02	WL	A	RT	07-16-2024	11:40:00	07-27-2024	2698	E.S. BABCOCK & SONS	2819	PERFLUOROBUTANOIC ACID (PFBA)			NG/L	Y	2.000000000			EPA 533
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_002_002	WELL 17 (INSTALLED 1997)	WL	A	RT	08-29-2023	11:15:00	09-06-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2426	TERT-BUTYLBENZENE			UG/L	Y	0.500000000			EPA 524.2
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_005_005	WELL 07	WL	A	RT	09-20-2023	09:30:00	09-28-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1052	SODIUM	12		MG/L	N	1.000000000			EPA 200.7
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_009_009	WELL 08 (INSTALLED 1995)	WL	A	RT	11-05-2024	11:00:00	11-12-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2251	METHYL TERT-BUTYL ETHER			UG/L	Y	3.000000000	3	13	EPA 524.2
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_004_004	HIGH SCHOOL WELL	WL	A	RT	07-16-2024	09:48:00	07-17-2024	1677	BASIC LABORATORY (REDDING)	1040	NITRATE	1.00		MG/L	N	0.100000000	.4	10	EPA 300.0
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	04-15-2024	11:15:00	05-02-2024	2698	E.S. BABCOCK & SONS	2825	PERFLUORO PFMBA			NG/L	Y	1.700000000			EPA 533
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_006_006	COMMERCIAL STREET WELL	WL	A	RT	05-13-2025	13:00:00	05-30-2025	2698	E.S. BABCOCK & SONS	2808	PERFLUORODODECANOIC ACID (PFDOA)			NG/L	Y	1.700000000			EPA 533
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_001_001	WELL 01B TREATMENT PLANT - TREATED	TP	A	RT	07-10-2023	10:10:00	07-14-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1028	IRON	130		UG/L	N	100.000000000		300	EPA 200.7
LPA62 - PLUMAS COUNTY	CA3200127	ARLINGTON HEIGHTS MHP	A	C	C	PLUMAS	33	39	CA3200127_DST_LCR	LCR Tap Sample	DS	A	RT	09-16-2025	08:00:00	10-03-2025	1677	BASIC LABORATORY (REDDING)	1030	LEAD			UG/L	Y	0.500000000			EPA 200.8
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_002_002	WELL 01B	WL	A	RT	10-04-2023	11:30:00	10-11-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2212	DICHLORODIFLUOROMETHANE			UG/L	Y	0.500000000			EPA 524.2
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_004_004	WELL 29A (REPLACED WELL 29 IN 2007)	WL	A	RT	08-29-2023	11:55:00	09-06-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2955	XYLENES, TOTAL			UG/L	Y	0.500000000	0.5	1750	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_003_003	WELL 9M	WL	A	RT	04-08-2025	11:25:00	05-05-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1042	POTASSIUM	2		MG/L	N	1.000000000			EPA 200.7
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_003_003	WELL 9M	WL	A	RT	05-13-2025	10:57:00	05-19-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2989	CHLOROBENZENE			UG/L	Y	0.500000000	.5	70	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_009_009	WELL 08 (INSTALLED 1995)	WL	A	RT	11-05-2024	11:00:00	11-25-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1035	MERCURY			UG/L	Y	1.000000000	1	2	EPA 245.1
LPA62 - PLUMAS COUNTY	CA3200148	FEATHER RIVER RV & MHP	A	C	C	PLUMAS	741	18	CA3200148_002_002	WELL 02	WL	A	RT	07-23-2024	10:11:00	08-01-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2030	P-ISOPROPYLTOLUENE			UG/L	Y	0.500000000			EPA 524.2
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_013_013	BOYLE WELL #7	WL	A	RT	06-17-2025	10:19:00	06-24-2025	1186	PACE ANALYTICAL SERVICES, LLC DBA BC LAB	2978	1,1-DICHLOROETHANE			UG/L	Y	0.500000000	.5	5	EPA 524.2
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_DST_LCR	LCR Tap Sample	DS	A	RT	07-25-2023	10:12:00	08-16-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1030	LEAD			UG/L	Y	5.000000000			EPA 200.8
DISTRICT 02 - LASSEN	CA3200510	IVCSD CRESCENT MILLS	A	C	C	PLUMAS	258	75	CA3200510_003_003	WELL 01	WL	A	RT	04-03-2025	09:55:00	04-15-2025	1677	BASIC LABORATORY (REDDING)	1050	SILVER			UG/L	Y	0.200000000		100	EPA 200.8
DISTRICT 02 - LASSEN	CA3210005	GRAEAGLE WATER COMPANY	A	C	C	PLUMAS	737	944	CA3210005_DST_801	DBPR Sample	DS	A	RT	10-31-2025	08:10:00	11-07-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2944	DIBROMOCHLOROMETHANE			UG/L	Y	1.000000000	1		EPA 551.1
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_002_002	WELL 17 (INSTALLED 1997)	WL	A	RT	08-29-2023	11:15:00	09-06-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2251	METHYL TERT-BUTYL ETHER			UG/L	Y	3.000000000	3	13	EPA 524.2
DISTRICT 02 - LASSEN	CA3210005	GRAEAGLE WATER COMPANY	A	C	C	PLUMAS	737	944	CA3210005_DST_801	DBPR Sample	DS	A	RT	06-18-2024	08:10:00	06-27-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2941	CHLOROFORM	47		UG/L	N	1.000000000	1		EPA 551.1
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_005_005	WELL 07	WL	A	RT	09-20-2023	09:30:00	09-28-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1095	ZINC			UG/L	Y	20.000000000		5000	EPA 200.7
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_009_009	WELL 08 (INSTALLED 1995)	WL	A	RT	06-12-2025	11:28:00	06-27-2025	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2414	1,2,3-TRICHLOROPROPANE			UG/L	Y	0.005000000	0.005	0.005	SRL 524M-TCP
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_002_002	WELL 01B	WL	A	RT	04-15-2024	09:55:00	04-23-2024	2698	E.S. BABCOCK & SONS	C297	ADSORBABLE ORGANIC FLUORINE			NG/L	Y	670.000000000			EPA 1621M
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_002_002	WELL 17 (INSTALLED 1997)	WL	A	RT	08-20-2024	11:15:00	08-27-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	SM 4500-NO3-F-00
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_001_001	WELL 01B TREATMENT PLANT - TREATED	TP	A	RT	04-13-2023	10:25:00	04-24-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2955	XYLENES, TOTAL			UG/L	Y	0.500000000	0.5	1750	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200001	SIERRA SKY LODGE	A	NP	SSWS	PLUMAS	20	8	CA3200001_001_001	WELL 01	WL	A	RT	08-01-2023	10:55:00	08-10-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	SM 4500-NO3-F-00
DISTRICT 02 - LASSEN	CA3210006	LAKE ALMANOR COUNTRY CLUB MWC	A	C	C	PLUMAS	6000	1721	CA3210006_DST_LCR	LCR Tap Sample	DS	A	RT	09-23-2023	06:30:00	10-05-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1030	LEAD			UG/L	Y	5.000000000			EPA 200.8
DISTRICT 02 - LASSEN	CA3210001	IVCSD-GREENVILLE	A	C	C	PLUMAS	630	220	CA3210001_006_006	WELL 2 - RAW	WL	A	RT	04-17-2024	12:15:00	05-16-2024	2698	E.S. BABCOCK & SONS	2815	ADONA			NG/L	Y	1.800000000			EPA 533
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_008_008	WELL 03 - COBURN	WL	A	RT	04-08-2024	08:50:00	05-01-2024	2698	E.S. BABCOCK & SONS	2815	ADONA			NG/L	Y	1.800000000			EPA 533
LPA62 - PLUMAS COUNTY	CA3200064	LONG VALLEY RESORT	A	NP	SSWS	PLUMAS	14	7	CA3200064_002_002	MID COURT WELL (INSTALLED 2006)	WL	A	RT	12-19-2023	10:04:00	12-29-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	SM 4500-NO3-F-00
LPA62 - PLUMAS COUNTY	CA3200078	FRCCSD OLD MILL RANCH	A	C	C	PLUMAS	32	36	CA3200078_003_003	WELL 01 (INSTALLED 2008)	WL	A	RT	12-30-2025	10:58:00	01-10-2026	1677	BASIC LABORATORY (REDDING)	1005	ARSENIC	3.44		UG/L	N	2.000000000	2	10	EPA 200.8
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_009_009	WELL 08 (INSTALLED 1995)	WL	A	RT	11-05-2024	11:00:00	11-12-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1064	CONDUCTIVITY @ 25 C UMHOS/CM	191		UMHO/CM	N	0.000000000		1600	SM 2510 B
LPA62 - PLUMAS COUNTY	CA3200114	EVERGREEN MOTEL & MHP	A	C	C	PLUMAS	28	40	CA3200114_001_001	WELL 01	WL	A	RT	03-12-2024	08:45:00	03-29-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	EPA 300.0
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_006_006	WELL 33 (INSTALLED 2014)	WL	A	RT	03-19-2024	11:45:00	04-02-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	4006	COMBINED URANIUM	9.65	0.000	PCI/L	N	1.000000000	1	20	EPA 200.8
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_006_006	WELL 33 (INSTALLED 2014)	WL	A	RT	05-13-2025	10:50:00	06-02-2025	2698	E.S. BABCOCK & SONS	2823	PERFLUORO PFMPA			NG/L	Y	1.800000000			EPA 533
DISTRICT 02 - LASSEN	CA3210006	LAKE ALMANOR COUNTRY CLUB MWC	A	C	C	PLUMAS	6000	1721	CA3210006_DST_LCR	LCR Tap Sample	DS	A	RT	09-24-2023	05:35:00	10-05-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1030	LEAD			UG/L	Y	5.000000000			EPA 200.8
DISTRICT 02 - LASSEN	CA3210005	GRAEAGLE WATER COMPANY	A	C	C	PLUMAS	737	944	CA3210005_002_002	TREATMENT PLANT - TREATED	TP	A	RT	08-20-2024	08:35:00	09-05-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1022	COPPER, FREE			UG/L	Y	50.000000000	50	1000	EPA 200.7
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_009_009	WELL 08 (INSTALLED 1995)	WL	A	RT	11-05-2024	11:00:00	11-12-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2991	TOLUENE	5.1		UG/L	N	0.500000000	.5	150	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200718	PNF SANDY POINT DAY USE AREA	A	NC	NC	PLUMAS	50	1	CA3200718_001_001	WELL 01	WL	A	RT	06-13-2024	09:50:00	06-26-2024	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1041	NITRITE			MG/L	Y	0.400000000	.4	1	SM 4500-NO3-F-00
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_003_003	WELL 05	WL	A	RT	09-20-2023	10:15:00	09-28-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1064	CONDUCTIVITY @ 25 C UMHOS/CM	345		UMHO/CM	N	0.000000000		1600	SM 2510 B
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_002_002	WELL 3P2	WL	A	RT	04-11-2023	12:58:00	05-04-2023	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1085	THALLIUM, TOTAL			UG/L	Y	1.000000000	1	2	EPA 200.8
LPA62 - PLUMAS COUNTY	CA3200127	ARLINGTON HEIGHTS MHP	A	C	C	PLUMAS	33	39	CA3200127_003_003	WELL 02 (INSTALLED 2014)	WL	A	RT	10-09-2024	07:40:00	11-05-2024	2698	E.S. BABCOCK & SONS	2807	PERFLUORODECANOIC ACID (PFDA)			NG/L	Y	2.000000000			EPA 533
