lat,lon,activity,year,status,acres,nepa_project,district,detail
40.1455,-120.6329,Invasives - Pesticide Application,2023,completed,,,,basic
40.1193,-120.6556,Invasives - Pesticide Application,2023,completed,,,,basic
40.1225,-120.6631,Invasives - Pesticide Application,2023,completed,,,,basic
39.6028,-121.266,Invasives - Pesticide Application,2023,completed,,,,basic
40.316,-120.7597,Invasives - Pesticide Application,2023,completed,0.9,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1951,-120.5947,Invasives - Pesticide Application,2023,completed,,,,basic
40.1508,-120.6354,Invasives - Pesticide Application,2023,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.0493,-120.69,Invasives - Pesticide Application,2023,completed,,,,basic
40.1463,-120.6991,Invasives - Pesticide Application,2023,completed,,,,basic
40.3022,-120.7349,Invasives - Pesticide Application,2023,completed,,,,basic
39.8479,-121.394,Invasives - Pesticide Application,2023,completed,5.9,(PALS)STORRIE AND RICH FIRE AREAS INVASIVE PLANT TREATMENT PROJECT,02,full
39.9365,-121.3201,Invasives - Pesticide Application,2023,completed,3.5,(PALS)STORRIE AND RICH FIRE AREAS INVASIVE PLANT TREATMENT PROJECT,02,full
40.0886,-121.1472,Invasives - Pesticide Application,2023,completed,,,,basic
39.9601,-121.2788,Invasives - Pesticide Application,2023,completed,,,,basic
40.3036,-120.7339,Invasives - Pesticide Application,2023,completed,,,,basic
40.3109,-120.7519,Invasives - Pesticide Application,2023,completed,,,,basic
39.996,-120.8717,Invasives - Pesticide Application,2023,completed,,,,basic
40.3159,-120.7459,Invasives - Pesticide Application,2023,completed,0.4,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.103,-120.6998,Invasives - Pesticide Application,2023,completed,,,,basic
39.9609,-121.278,Invasives - Pesticide Application,2023,completed,,,,basic
40.1963,-120.5941,Invasives - Pesticide Application,2023,completed,,,,basic
40.1549,-120.6718,Invasives - Pesticide Application,2023,completed,,,,basic
40.1484,-120.6927,Invasives - Pesticide Application,2023,completed,0.2,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1749,-120.6605,Tree Release and Weed,2023,completed,123.7,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.2078,-120.644,Tree Release and Weed,2023,completed,,,,basic
